Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Expenses,Children,Age,Relationship Status,TotalAcceptedCmp,NumTotalPurchases,Customer_Day
Master,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,0,32,Single,0,6,198
Master,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,0,58,Couple,0,10,396
Undergraduate,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,1,51,Couple,1,7,787
PhD,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,2,69,Single,1,11,768
Master,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,0,75,Couple,0,17,654
Master,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,2,70,Single,0,5,464
PhD,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,1,51,Couple,0,23,340
Master,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,1,45,Couple,0,6,665
Undergraduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,1,48,Single,0,5,34
PhD,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,0,78,Single,2,22,703
Undergraduate,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,1,41,Couple,0,19,586
Master,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,1,36,Couple,0,5,368
Undergraduate,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,1,64,Couple,0,3,712
PhD,52247.25135379061,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,186,0,62,Single,0,8,574
Master,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,1,46,Couple,0,5,664
Undergraduate,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,0,45,Single,0,15,161
Master,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,0,25,Couple,1,7,816
Undergraduate,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,1,53,Couple,0,4,561
Undergraduate,52247.25135379061,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,124,3,70,Single,0,7,339
PhD,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,2,67,Couple,0,19,847
Undergraduate,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,1,64,Single,0,16,1
Master,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,0,57,Couple,0,28,758
Undergraduate,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,1,44,Single,0,5,673
Undergraduate,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,0,44,Single,3,20,153
Undergraduate,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,2,43,Couple,0,16,365
Master,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,0,66,Couple,2,26,747
Undergraduate,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,0,55,Single,1,20,670
Undergraduate,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,1,33,Single,0,5,222
Undergraduate,52247.25135379061,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,46,1,39,Single,0,5,537
PhD,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,1,53,Couple,0,16,278
Master,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,0,39,Single,3,20,608
Undergraduate,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,2,46,Couple,0,18,880
Undergraduate,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,1,69,Single,0,20,656
PhD,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,1,70,Single,0,18,395
Undergraduate,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,0,73,Couple,0,15,542
Undergraduate,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,1,50,Couple,1,4,564
Undergraduate,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,2,54,Couple,0,3,31
Master,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,1,42,Single,3,31,262
Undergraduate,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,1,63,Couple,0,17,435
Undergraduate,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,3,51,Couple,0,12,489
Master,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,0,67,Couple,0,18,757
Master,52247.25135379061,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,109,1,48,Couple,0,6,813
Undergraduate,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,1,62,Couple,0,26,629
PhD,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,2,46,Couple,1,19,581
Undergraduate,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,0,69,Couple,0,7,220
Undergraduate,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,1,44,Single,0,3,717
Master,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,0,49,Couple,1,18,831
Undergraduate,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,0,45,Single,2,22,726
Master,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,0,45,Couple,0,3,606
Undergraduate,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,0,56,Couple,2,19,673
Undergraduate,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,1,36,Single,0,8,829
Undergraduate,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,1,52,Couple,0,3,531
Master,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,1,48,Couple,0,6,639
Master,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,0,58,Couple,0,10,396
Undergraduate,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,0,34,Single,0,26,284
Undergraduate,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,2,61,Couple,0,5,393
Master,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,2,51,Couple,1,8,508
Undergraduate,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,1,64,Single,3,13,192
Undergraduate,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,0,48,Couple,1,18,1
Undergraduate,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,1,54,Couple,0,9,319
PhD,52247.25135379061,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,603,3,64,Couple,0,17,747
Undergraduate,52247.25135379061,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,18,2,64,Single,0,3,193
Master,52247.25135379061,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,985,0,48,Couple,0,14,378
Master,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,1,49,Single,0,4,258
PhD,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,1,51,Couple,0,7,196
Undergraduate,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,1,38,Couple,0,5,198
Undergraduate,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,1,61,Single,1,17,744
Undergraduate,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,2,49,Single,0,5,397
Master,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,0,70,Couple,1,24,693
PhD,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,0,38,Couple,0,14,534
Master,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,1,61,Single,0,5,501
PhD,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,1,62,Single,0,5,251
Undergraduate,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,1,42,Couple,0,25,595
PhD,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,0,76,Couple,0,15,568
Undergraduate,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,0,62,Couple,1,19,123
Highschool,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,1,42,Couple,0,4,420
Undergraduate,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,2,57,Couple,0,9,438
Undergraduate,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,2,52,Couple,0,22,672
Undergraduate,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,1,43,Single,0,7,717
Master,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,0,61,Couple,0,13,877
Undergraduate,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,1,42,Couple,0,23,663
PhD,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,0,30,Single,2,16,786
Master,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,1,58,Couple,1,17,164
Undergraduate,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,0,30,Single,3,24,673
PhD,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,1,41,Couple,0,16,724
Undergraduate,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,2,59,Single,0,6,423
Undergraduate,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,0,51,Couple,2,15,316
Master,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,1,43,Couple,0,15,655
Master,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,2,54,Couple,0,5,394
Undergraduate,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,1,52,Couple,0,5,387
Master,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,1,68,Couple,0,18,534
Master,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,1,54,Single,1,6,285
Master,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,2,36,Couple,0,4,606
Undergraduate,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,1,45,Single,0,4,593
Undergraduate,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,0,38,Single,4,27,368
Master,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,0,56,Couple,0,14,656
Undergraduate,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,0,37,Single,1,15,594
Master,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,2,68,Couple,0,6,122
PhD,52247.25135379061,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,404,1,60,Couple,0,14,394
PhD,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,2,65,Couple,0,19,62
Undergraduate,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,1,69,Couple,0,14,432
Master,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,2,63,Single,0,18,429
Undergraduate,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,0,52,Couple,0,18,65
Undergraduate,52247.25135379061,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,725,1,58,Couple,0,18,393
PhD,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,2,57,Couple,0,11,479
PhD,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,0,54,Couple,1,22,629
Highschool,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,1,45,Single,0,4,850
PhD,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,3,62,Couple,0,6,517
PhD,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,2,48,Single,2,4,201
PhD,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,2,56,Single,0,5,496
Master,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,0,29,Single,0,21,778
Master,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,1,45,Couple,1,15,387
Undergraduate,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,0,59,Couple,0,22,596
PhD,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,1,47,Single,0,22,465
Undergraduate,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,1,33,Couple,0,9,627
Undergraduate,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,2,45,Couple,0,12,779
Undergraduate,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,1,46,Couple,1,5,769
Undergraduate,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,1,40,Couple,0,3,465
Master,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,3,48,Couple,0,9,836
Master,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,0,55,Couple,0,7,168
Master,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,2,68,Couple,0,15,226
Undergraduate,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,460,1,52,Couple,1,15,156
Master,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,1,49,Couple,0,13,722
Undergraduate,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,1,33,Single,0,7,1
PhD,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,1,69,Couple,0,24,817
Undergraduate,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,1381,0,72,Couple,3,20,655
Undergraduate,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,306,1,63,Single,0,12,486
Undergraduate,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,18,3,43,Single,0,3,362
Undergraduate,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,162,1,44,Couple,0,8,415
Undergraduate,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,0,66,Single,0,17,473
Master,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,3,63,Single,0,3,698
PhD,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1706,0,76,Couple,0,25,939
Undergraduate,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,121,1,37,Couple,0,7,219
PhD,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,1293,0,46,Single,0,19,700
PhD,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,1608,1,48,Couple,0,22,337
Undergraduate,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,88,3,55,Couple,0,6,388
Undergraduate,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,421,0,68,Single,1,17,383
Undergraduate,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,259,0,62,Single,1,11,465
Undergraduate,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,0,33,Single,0,14,663
Undergraduate,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,89,2,64,Couple,0,6,284
Undergraduate,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,36,2,56,Couple,0,4,229
Undergraduate,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,57,1,39,Couple,0,5,511
Undergraduate,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,148,2,51,Couple,0,7,229
PhD,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,93,2,62,Couple,0,6,310
Undergraduate,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,119,1,54,Single,1,6,246
PhD,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,1,46,Couple,0,27,727
PhD,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,1318,0,73,Couple,3,24,720
PhD,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,45,2,51,Couple,0,5,197
Undergraduate,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,10,3,62,Couple,0,3,165
Master,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,0,70,Couple,1,24,693
PhD,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,191,1,45,Couple,0,9,31
Master,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,57,1,33,Couple,0,6,62
Master,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,1033,0,75,Couple,0,23,434
Master,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,66,1,37,Couple,0,5,318
Highschool,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,43,0,60,Couple,0,5,174
Undergraduate,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,50,1,38,Couple,0,4,938
PhD,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,39,1,51,Single,0,5,125
Undergraduate,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,608,1,55,Couple,0,16,666
Undergraduate,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,1581,0,45,Couple,0,23,627
PhD,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,68,2,57,Couple,0,5,651
Highschool,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,80,1,43,Couple,1,4,818
PhD,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,1282,0,32,Couple,0,27,568
Undergraduate,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,91,1,33,Couple,0,6,555
Undergraduate,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,315,2,48,Couple,0,12,656
Undergraduate,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,31,2,44,Couple,0,4,342
Master,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,834,0,41,Couple,0,22,207
Undergraduate,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,1600,0,67,Couple,1,16,443
Undergraduate,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,1270,0,67,Couple,0,16,688
PhD,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,263,2,48,Single,2,9,250
Undergraduate,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,535,1,69,Single,1,16,160
Undergraduate,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,1295,0,53,Single,0,17,450
Undergraduate,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,1150,1,43,Single,0,26,418
PhD,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,1240,0,44,Couple,4,26,1029
PhD,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,38,2,56,Single,0,4,507
Master,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,35,0,37,Single,2,3,786
Undergraduate,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,53,1,33,Couple,1,4,481
Master,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,293,2,58,Single,0,11,572
Undergraduate,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,65,1,55,Couple,0,5,122
Undergraduate,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,1804,1,67,Single,2,24,788
Undergraduate,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,241,1,65,Couple,0,10,615
