Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Expenses,Children,Age,Relationship Status,TotalAcceptedCmp,NumTotalPurchases,Customer_Day
2,89058.0,2012-07-12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,0,61,1,0,13,877
1,77298.0,2013-02-11,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,1,42,1,0,23,663
3,68126.0,2012-10-11,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,0,30,0,2,16,786
2,57288.0,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,1,58,1,1,17,164
1,86037.0,2013-02-01,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,0,30,0,3,24,673
3,43974.0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,1,41,1,0,16,724
1,50785.0,2013-10-09,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,2,59,0,0,6,423
1,90765.0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,0,51,1,2,15,316
2,36550.0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,1,43,1,0,15,655
2,30753.0,2013-11-07,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,2,54,1,0,5,394
1,21918.0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,1,52,1,0,5,387
2,56129.0,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,1,68,1,0,18,534
2,32557.0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,1,54,0,1,6,285
2,19510.0,2013-04-09,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,2,36,1,0,4,606
1,30992.0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,1,45,0,0,4,593
1,101970.0,2013-12-03,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,0,38,0,4,27,368
2,71488.0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,0,56,1,0,14,656
1,79607.0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,0,37,0,1,15,594
2,54348.0,2014-08-06,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,2,68,1,0,6,122
3,52247.25135379061,2013-11-07,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,404,1,60,1,0,14,394
3,77376.0,2014-10-05,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,2,65,1,0,19,62
1,62998.0,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,1,69,1,0,14,432
2,61331.0,2013-10-03,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,2,63,0,0,18,429
1,73448.0,2014-10-02,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,0,52,1,0,18,65
1,52247.25135379061,2013-11-08,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,725,1,58,1,0,18,393
3,41551.0,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,2,57,1,0,11,479
3,62981.0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,0,54,1,1,22,629
0,9548.0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,1,45,0,0,4,850
3,33762.0,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,3,62,1,0,6,517
3,35860.0,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,2,48,0,2,4,201
3,36921.0,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,2,56,0,0,5,496
2,92859.0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,0,29,0,0,21,778
2,65104.0,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,1,45,1,1,15,387
1,86111.0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,0,59,1,0,22,596
3,68352.0,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,1,47,0,0,22,465
1,41883.0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,1,33,1,0,9,627
1,59809.0,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,2,45,1,0,12,779
1,23957.0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,1,46,1,1,5,769
1,38547.0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,1,40,1,0,3,465
2,35688.0,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,3,48,1,0,9,836
2,49605.0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,0,55,1,0,7,168
2,59354.0,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,2,68,1,0,15,226
1,65747.0,2014-07-03,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,460,1,52,1,1,15,156
2,46344.0,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,1,49,1,0,13,722
1,34176.0,2014-12-05,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,1,33,0,0,7,1
3,61010.0,2012-09-10,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,1,69,1,0,24,817
1,69372.0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,1381,0,72,1,3,20,655
1,49967.0,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,306,1,63,0,0,12,486
1,60199.0,2013-12-09,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,18,3,43,0,0,3,362
1,55375.0,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,162,1,44,1,0,8,415
1,80317.0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,0,66,0,0,17,473
2,30523.0,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,3,63,0,0,3,698
3,70356.0,2012-05-11,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1706,0,76,1,0,25,939
1,23228.0,2014-05-01,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,121,1,37,1,0,7,219
3,74165.0,2013-01-05,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,1293,0,46,0,0,19,700
3,157243.0,2014-01-03,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,1608,1,48,1,0,22,337
1,43482.0,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,88,3,55,1,0,6,388
1,62551.0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,421,0,68,0,1,17,383
1,52332.0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,259,0,62,0,1,11,465
1,66951.0,2013-02-11,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,0,33,0,0,14,663
1,26091.0,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,89,2,64,1,0,6,284
1,33456.0,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,36,2,56,1,0,4,229
1,28718.0,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,57,1,39,1,0,5,511
1,50447.0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,148,2,51,1,0,7,229
3,53537.0,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,93,2,62,1,0,6,310
1,52074.0,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,119,1,54,0,1,6,246
3,80427.0,2012-12-09,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,1,46,1,0,27,727
3,83837.0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,1318,0,73,1,3,24,720
3,38853.0,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,45,2,51,1,0,5,197
1,38285.0,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,10,3,62,1,0,3,165
2,78497.0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,0,70,1,1,24,693
3,51650.0,2014-11-05,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,191,1,45,1,0,9,31
2,16248.0,2014-10-05,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,57,1,33,1,0,6,62
2,66835.0,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,1033,0,75,1,0,23,434
2,30477.0,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,66,1,37,1,0,5,318
0,28249.0,2014-06-15,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,43,0,60,1,0,5,174
1,25271.0,2012-05-12,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,50,1,38,1,0,4,938
3,32303.0,2014-08-03,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,39,1,51,0,0,5,125
1,61286.0,2013-02-08,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,608,1,55,1,0,16,666
1,74068.0,2013-03-19,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,1581,0,45,1,0,23,627
3,45759.0,2013-02-23,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,68,2,57,1,0,5,651
0,24882.0,2012-09-09,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,80,1,43,1,1,4,818
3,66973.0,2013-05-17,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,1282,0,32,1,0,27,568
1,38872.0,2013-05-30,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,91,1,33,1,0,6,555
1,51148.0,2013-02-18,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,315,2,48,1,0,12,656
1,31353.0,2013-12-29,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,31,2,44,1,0,4,342
2,69661.0,2014-05-13,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,834,0,41,1,0,22,207
1,80067.0,2013-09-19,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,1600,0,67,1,1,16,443
1,86718.0,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,1270,0,67,1,0,16,688
3,46854.0,2014-03-31,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,263,2,48,0,2,9,250
1,69142.0,2014-06-29,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,535,1,69,0,1,16,160
1,75922.0,2013-09-12,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,1295,0,53,0,0,17,450
1,63693.0,2013-10-14,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,1150,1,43,0,0,26,418
3,102160.0,2012-02-11,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,1240,0,44,1,4,26,1029
3,40637.0,2013-07-17,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,38,2,56,0,0,4,507
